,posted,neighborhood,city,post title,price,URL
0,2022-10-24 06:31,nazareth pa,allentown,curtains,4,https://allentown.craigslist.org/hsh/d/nazareth-curtains/7546976149.html
1,2022-10-24 06:31,Nazareth,allentown,Brand new unopened iron pigs towels,13,https://allentown.craigslist.org/for/d/nazareth-brand-new-unopened-iron-pigs/7547018369.html
2,2022-10-24 06:31,Nazareth,allentown,Stock parts for a 2003 softail standard,25,https://allentown.craigslist.org/mpo/d/nazareth-stock-parts-for-2003-softail/7547106698.html
3,2022-10-24 06:31,Nazareth,allentown,2003 stock Harley derby cover,25,https://allentown.craigslist.org/mpo/d/nazareth-2003-stock-harley-derby-cover/7547104470.html
4,2022-10-24 06:31,nazareth pa,allentown,stock clutch cover for 2003 harley softail,20,https://allentown.craigslist.org/mpo/d/stock-clutch-cover-for-2003-harley/7547103883.html
5,2022-10-24 06:31,nazareth pa,allentown,stock lower belt guard for harley softail,8,https://allentown.craigslist.org/mpo/d/stock-lower-belt-guard-for-harley/7547100331.html
6,2022-10-24 06:31,Nazareth,allentown,Brand new Orioles blanket,20,https://allentown.craigslist.org/bab/d/nazareth-brand-new-orioles-blanket/7547013950.html
7,2022-10-24 06:31,Nazareth,allentown,Brand new unopened iron pigs towels,13,https://allentown.craigslist.org/clo/d/nazareth-brand-new-unopened-iron-pigs/7547099689.html
8,2022-10-24 06:31,Nazareth,allentown,Old wrenches,0,https://allentown.craigslist.org/atq/d/nazareth-old-wrenches/7547099237.html
9,2022-10-24 06:31,Nazareth,allentown,Chevy center cap,15,https://allentown.craigslist.org/wto/d/nazareth-chevy-center-cap/7547098764.html
10,2022-10-24 06:31,Nazareth,allentown,Bigfoot outrigger pad,0,https://allentown.craigslist.org/hvo/d/hellertown-bigfoot-outrigger-pad/7547098016.html
11,2022-10-24 06:31,Nazareth,allentown,Radio flyer miniature wagon,0,https://allentown.craigslist.org/for/d/nazareth-radio-flyer-miniature-wagon/7547097056.html
12,2022-10-24 06:31,Nazareth,allentown,mary pendant,7,https://allentown.craigslist.org/jwl/d/nazareth-mary-pendant/7547096235.html
13,2022-10-24 06:31,nazareth pa,allentown,pair of dice valve stem caps,5,https://allentown.craigslist.org/bop/d/nazareth-pair-of-dice-valve-stem-caps/7547096604.html
