,posted,neighborhood,city,post title,price,URL
0,2022-10-24 16:49,bethlehem,allentown,2008 Nissan Altima - LOW MILES!,9500,https://allentown.craigslist.org/cto/d/bethlehem-2008-nissan-altima-low-miles/7549519568.html
1,2022-10-24 16:48,Hilltown,allentown,sleeper-sofa,50,https://allentown.craigslist.org/fuo/d/hatfield-sleeper-sofa/7549517448.html
2,2022-10-24 16:45,Bethlehem,allentown,Rally Pickleball Racket; Used once,,https://allentown.craigslist.org/spo/d/bethlehem-rally-pickleball-racket-used/7549516104.html
3,2022-10-24 16:40,Orefield,allentown,"Penn State vs Ohio State - (4) Tickets, Lower Level",,https://allentown.craigslist.org/tix/d/orefield-penn-state-vs-ohio-state/7549513996.html
4,2022-10-24 16:33,Allentown,allentown,Glenn Cooper Signed Pastel Portrait of Woman,350,https://allentown.craigslist.org/art/d/bethlehem-glenn-cooper-signed-pastel/7549510890.html
5,2022-10-24 16:31,Springtown,allentown,Hard Case for Storage - Used,30,https://allentown.craigslist.org/spo/d/springtown-hard-case-for-storage-used/7549509911.html
6,2022-10-24 16:25,YARDLEY/NE PHILLY,allentown,VANITY DESK SET~BRAND NEW~WOOD~PLATINUM~SACRIFICE~BRING ALL OFFERS!!!,0,https://allentown.craigslist.org/fuo/d/richboro-vanity-desk-setbrand/7546085357.html
7,2022-10-24 16:25,Schwenksville,allentown,Old Trico Wiper arm display for car dealership,300,https://allentown.craigslist.org/atq/d/schwenksville-old-trico-wiper-arm/7549507467.html
8,2022-10-24 16:25,Quakertown,allentown,1969 Camaro SS,37500,https://allentown.craigslist.org/cto/d/quakertown-1969-camaro-ss/7549509069.html
9,2022-10-24 16:21,Allentown,allentown,AC and Heater Delonghi Pinguino Portable 13000 BTU | PAC N130HPE,295,https://allentown.craigslist.org/app/d/bethlehem-ac-and-heater-delonghi/7541696595.html
10,2022-10-24 16:21,Allentown,allentown,Air Purifier Oransi Max HEPA,95,https://allentown.craigslist.org/app/d/bethlehem-air-purifier-oransi-max-hepa/7544368832.html
11,2022-10-24 16:21,Allentown,allentown,Samsonite Satchel NEVER USED,25,https://allentown.craigslist.org/clo/d/bethlehem-samsonite-satchel-never-used/7544381004.html
12,2022-10-24 16:21,Springtown,allentown,Wall Hanger Brackets - (4) - New,15,https://allentown.craigslist.org/tls/d/springtown-wall-hanger-brackets-new/7549505479.html
13,2022-10-24 16:19,Bethlehem,allentown,Various Keg Beer Brewing Hardware Supplies,25,https://allentown.craigslist.org/for/d/bethlehem-various-keg-beer-brewing/7549504843.html
14,2022-10-24 16:19,Allentown,allentown,Sushi Machine Maker Suzumo (gently used),795,https://allentown.craigslist.org/app/d/bethlehem-sushi-machine-maker-suzumo/7545980190.html
