,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,2022-10-23 23:07:00," (5877 Ross Road, Cincinnati, Oh","Bike Path, Tennis Courts, Clubhouse",2.0,1323.0,https://cincinnati.craigslist.org/apa/d/fairfield-bike-path-tennis-courts/7546913414.html,1766
1,2022-10-23 22:43:00, (Apple Creek,Nice 3 bedroom/2 bath Singlewide Available Now!,3.0,1216.0,https://cincinnati.craigslist.org/apa/d/amelia-nice-bedroom-bath-singlewide/7549225719.html,1249
2,2022-10-23 22:23:00," (5877 Ross Road, Cincinnati, Oh","Fitness Center, Dog Park""",2.0,872.0,https://cincinnati.craigslist.org/apa/d/fairfield-fitness-center-dog-park/7543046796.html,1325
3,2022-10-23 21:52:00," (11513 Village Brook Drive, Cinncinnati, Oh","Close to Restaurants, Tile Backsplash, Tanning Bed",2.0,1234.0,https://cincinnati.craigslist.org/apa/d/cincinnati-close-to-restaurants-tile/7542179783.html,2206
4,2022-10-23 21:38:00," (5877 Ross Road, Cincinnati, Oh","Bike Path, Fitness Center, Yoga Studio",3.0,2500.0,https://cincinnati.craigslist.org/apa/d/fairfield-bike-path-fitness-center-yoga/7547710771.html,2949
5,2022-10-23 21:16:00," (11513 Village Brook Drive, Cinncinnati, Oh","Spacious Floorplans, Close to Shopping, Cafe",2.0,1222.0,https://cincinnati.craigslist.org/apa/d/cincinnati-spacious-floorplans-close-to/7548521156.html,2293
6,2022-10-23 21:00:00," (5877 Ross Road, Cincinnati, Oh","Swimming Pool, Dog Park, Bike Path",1.0,701.0,https://cincinnati.craigslist.org/apa/d/fairfield-swimming-pool-dog-park-bike/7547825828.html,1037
7,2022-10-23 20:37:00, (Florence,Charming Family Home,4.0,2678.0,https://cincinnati.craigslist.org/apa/d/florence-charming-family-home/7549197344.html,1200
8,2022-10-23 20:21:00," (5877 Ross Road, Cincinnati, Oh","Bike Path, Dog Park, Clubhouse",2.0,1200.0,https://cincinnati.craigslist.org/apa/d/fairfield-bike-path-dog-park-clubhouse/7546125415.html,1582
9,2022-10-23 20:05:00," (11513 Village Brook Drive, Cincinnati, Oh","Two Swimming Pools, GOChat Business Center, Yoga Studio",2.0,1222.0,https://cincinnati.craigslist.org/apa/d/cincinnati-two-swimming-pools-gochat/7546106939.html,1981
10,2022-10-23 19:54:00," (3407 Brotherton Rd, Cincinnati, Oh",Welcome 3 bedroom 2 bathroom House available now !,3.0,,https://cincinnati.craigslist.org/apa/d/cincinnati-welcome-bedroom-bathroom/7549155538.html,1060
11,2022-10-23 19:37:00," (5877 Ross Road, Cincinnati, Oh","Dog Park, Yoga Studio, Walking Trails",2.0,1729.0,https://cincinnati.craigslist.org/apa/d/fairfield-dog-park-yoga-studio-walking/7547679030.html,1789
12,2022-10-23 19:07:00, (Cincinnati,Ferguson rd 2 bedroom,2.0,,https://cincinnati.craigslist.org/apa/d/cincinnati-ferguson-rd-bedroom/7539396712.html,850
13,2022-10-23 19:03:00," (5877 Ross Road, Cincinnati, Oh","Dog Park, Central Air, Tennis Courts",3.0,2667.0,https://cincinnati.craigslist.org/apa/d/fairfield-dog-park-central-air-tennis/7546835339.html,2381
14,2022-10-23 18:46:00," (11513 Village Brook Drive, Cinncinnati, Oh","Walk-In Closet, Spacious Floorplans, Large Closet",2.0,1131.0,https://cincinnati.craigslist.org/apa/d/cincinnati-walk-in-closet-spacious/7548463061.html,2020
15,2022-10-23 18:28:00," (5877 Ross Road, Cincinnati, Oh","Bike Path, Yoga Studio, Tennis Courts",2.0,965.0,https://cincinnati.craigslist.org/apa/d/fairfield-bike-path-yoga-studio-tennis/7547912798.html,1277
16,2022-10-23 18:14:00, (W 11Th St,"Newport 3/2 w/Updated kitch, Appliances, Large Closets, Porch/Garage",3.0,1700.0,https://cincinnati.craigslist.org/apa/d/newport-newport-2-updated-kitch/7549159766.html,1550
17,2022-10-23 18:13:00, (Cincinnati & Surrounding,"Apt, Condo or House treatment",2.0,888.0,https://cincinnati.craigslist.org/apa/d/cincinnati-apt-condo-or-house-treatment/7548393703.html,1
18,2022-10-23 17:46:00," (5877 Ross Road, Cincinnati, Oh","Central Air, Bike Path, Fitness Center",2.0,1200.0,https://cincinnati.craigslist.org/apa/d/fairfield-central-air-bike-path-fitness/7546061392.html,1582
19,2022-10-23 17:45:00, (41042,"Washer/Dryer connections, Close to Universities, Shopping & Dining",3.0,1200.0,https://cincinnati.craigslist.org/apa/d/florence-washer-dryer-connections-close/7549138237.html,1010
20,2022-10-23 17:35:00," (11513 Village Brook Drive, Cinncinnati, Oh","Carpeted, Business Center, Close to Restaurants",2.0,1385.0,https://cincinnati.craigslist.org/apa/d/cincinnati-carpeted-business-center/7546786968.html,2339
21,2022-10-23 17:17:00, (Batavia,HOUSE FOR RENT - EASTGATE,4.0,,https://cincinnati.craigslist.org/apa/d/cincinnati-house-for-rent-eastgate/7549140486.html,2450
22,2022-10-23 17:10:00," (5877 Ross Road, Cincinnati, Oh","Dog Park, Bike Path, Tennis Courts",1.0,624.0,https://cincinnati.craigslist.org/apa/d/fairfield-dog-park-bike-path-tennis/7542046339.html,1233
23,2022-10-23 16:27:00," (5877 Ross Road, Cincinnati, Oh","Tennis Courts, Fitness Center""",2.0,1008.0,https://cincinnati.craigslist.org/apa/d/fairfield-tennis-courts-fitness-center/7546038536.html,1530
24,2022-10-23 15:58:00," (11513 Village Brook Drive, Cinncinnati, Oh","Pantry, Double Sinks, Yoga Studio",3.0,1486.0,https://cincinnati.craigslist.org/apa/d/cincinnati-pantry-double-sinks-yoga/7548383961.html,2600
