,posted,neighborhood,post title,URL,price
0,2022-10-23 23:55:00, (Newport),Rock Hill Farms bourbon,https://cincinnati.craigslist.org/clt/d/newport-rock-hill-farms-bourbon/7549236268.html,$0
1,2022-10-23 23:54:00, (Batavia),New pair of Chevy/GMC 30” Swingcase Truck Tool Boxes #2088&2369,https://cincinnati.craigslist.org/for/d/batavia-new-pair-of-chevy-gmc-30/7549239208.html,$200
2,2022-10-23 23:43:00, (Cincinnati),Antique Wood Dresser,https://cincinnati.craigslist.org/fuo/d/cincinnati-antique-wood-dresser/7549237594.html,$60
3,2022-10-23 23:38:00, (Mason),10 Gallon Aquarium With Screened Lid And 2 Heat Lamps.  In Good Shape.,https://cincinnati.craigslist.org/for/d/mason-10-gallon-aquarium-with-screened/7547325893.html,$30
4,2022-10-23 23:38:00, (Mason),Bose Acoustimass 100W Sub in great shape!,https://cincinnati.craigslist.org/ele/d/mason-bose-acoustimass-100w-sub-in/7542828121.html,$70
5,2022-10-23 23:38:00, (Mason),NEW Jeff Bagwell 1991 Rookie of the Year 4-Card Set.  In sealed case w/ certific,https://cincinnati.craigslist.org/clt/d/mason-new-jeff-bagwell-1991-rookie-of/7540369471.html,$18
6,2022-10-23 23:38:00, (Cincinnati),8 inch GPS tablet chartplotter + 2022 Navionics charts,https://cincinnati.craigslist.org/bpo/d/cincinnati-inch-gps-tablet-chartplotter/7541757625.html,
7,2022-10-23 23:38:00, (Mason),Beautiful San Fransisco Music Box Company Collector’s Jewelry Box in good shap,https://cincinnati.craigslist.org/clt/d/mason-beautiful-san-fransisco-music-box/7540688163.html,$50
8,2022-10-23 23:37:00, (Mason),Under Armour Men’s 8 Charged Athletic Shoes In Good Shape.,https://cincinnati.craigslist.org/clo/d/mason-under-armour-mens-charged/7544183439.html,$30
9,2022-10-23 23:35:00, (cincinnati),Pit-bull Pups,https://cincinnati.craigslist.org/for/d/cincinnati-pit-bull-pups/7549236479.html,$0
10,2022-10-23 23:28:00, (Cincinnati),Vintage Johny’s Gems Flatware Set,https://cincinnati.craigslist.org/atq/d/cincinnati-vintage-johnys-gems-flatware/7549233980.html,$100
11,2022-10-23 23:24:00, (Blanchester),4 runner emblem black outs,https://cincinnati.craigslist.org/pts/d/blanchester-runner-emblem-black-outs/7544230889.html,$100
12,2022-10-23 23:23:00, (Liberty TWP.),RV Travel trailer 2004 coachman. 26ft.,https://cincinnati.craigslist.org/rvs/d/middletown-rv-travel-trailer-2004/7549235257.html,$5800
13,2022-10-23 23:22:00, (Mason/Liberty Township),New Viking Adult Womens Mens Costume,https://cincinnati.craigslist.org/clo/d/mason-new-viking-adult-womens-mens/7549234435.html,$40
14,2022-10-23 23:22:00, (Dry ridge),24x12 American Force wheels,https://cincinnati.craigslist.org/wto/d/dry-ridge-24x12-american-force-wheels/7549234419.html,$12345
15,2022-10-23 23:21:00, (Middletown),female pitbull,https://cincinnati.craigslist.org/for/d/middletown-female-pitbull/7549212657.html,$300
16,2022-10-23 23:18:00, (Maineville),cute goldendoodle puppy for addoption,https://cincinnati.craigslist.org/for/d/maineville-cute-goldendoodle-puppy-for/7549233950.html,$0
17,2022-10-23 23:18:00, (Colerain Township),Miata Parts,https://cincinnati.craigslist.org/pts/d/cincinnati-miata-parts/7549233912.html,$200
18,2022-10-23 23:14:00, (Mason/Liberty Township),Cowgirl Halloween Costume Adult Small Medium,https://cincinnati.craigslist.org/clo/d/mason-cowgirl-halloween-costume-adult/7549233331.html,$35
19,2022-10-23 23:09:00, (Cincinnati),NINETIES COMICS COLLECTION!,https://cincinnati.craigslist.org/bks/d/cincinnati-nineties-comics-collection/7549232497.html,
20,2022-10-23 23:00:00, (West Middletown),Paint pony  y,https://cincinnati.craigslist.org/grd/d/middletown-paint-pony/7549230956.html,$1200
21,2022-10-23 22:59:00, (Cincinnati),Modular Housing - 12 unit apartment Building,https://cincinnati.craigslist.org/wan/d/amelia-modular-housing-12-unit/7549230826.html,$840000
