,posted,neighborhood,post title,price,URL
0,2022-10-24 00:44, (Middletown,Burroughs Adding Machine,$500,https://cincinnati.craigslist.org/atq/d/middletown-burroughs-adding-machine/7549245257.html
1,2022-10-24 00:25, (Hyde park,Double bike rack hitch,$30,https://cincinnati.craigslist.org/spo/d/cincinnati-double-bike-rack-hitch/7549243282.html
2,2022-10-24 00:21, (Florence,Toshiba 32 Inch TV,$40,https://cincinnati.craigslist.org/ele/d/florence-toshiba-32-inch-tv/7549241748.html
3,2022-10-24 00:20, (Cincinnati,Vintage bike,$0,https://cincinnati.craigslist.org/bik/d/milford-vintage-bike/7545351794.html
4,2022-10-24 00:15, (Hamilton,Drum guitar stuff,$40,https://cincinnati.craigslist.org/msg/d/hamilton-drum-guitar-stuff/7539878952.html
5,2022-10-24 00:15, (Hamilton,Webn shirts new,,https://cincinnati.craigslist.org/clo/d/cincinnati-webn-shirts-new/7545835713.html
6,2022-10-24 00:15, (Hamilton,Cincinnati reds Kyle waldrop,$150,https://cincinnati.craigslist.org/for/d/hamilton-cincinnati-reds-kyle-waldrop/7545835694.html
7,2022-10-24 00:15, (Hamilton,Cincinnati reds  signed jersey,$120,https://cincinnati.craigslist.org/for/d/hamilton-cincinnati-reds-signed-jersey/7545835684.html
8,2022-10-24 00:15, (Hamilton,The Doors vcr tapes,$40,https://cincinnati.craigslist.org/for/d/hamilton-the-doors-vcr-tapes/7545835659.html
9,2022-10-24 00:04, (Batavia,New pair of Chevy/GMC 30” Swingcase Truck Tool Box #2118&2309,$240,https://cincinnati.craigslist.org/for/d/batavia-new-pair-of-chevy-gmc-30/7549240614.html
10,2022-10-24 00:00, (Hamilton,2012 Silverado LTZ Z71 4x4 leather,$11370,https://cincinnati.craigslist.org/cto/d/hamilton-2012-silverado-ltz-z71-4x4/7549240682.html
11,2022-10-23 23:55, (Newport,Rock Hill Farms bourbon,$0,https://cincinnati.craigslist.org/clt/d/newport-rock-hill-farms-bourbon/7549236268.html
12,2022-10-23 23:54, (Batavia,New pair of Chevy/GMC 30” Swingcase Truck Tool Boxes #2088&2369,$200,https://cincinnati.craigslist.org/for/d/batavia-new-pair-of-chevy-gmc-30/7549239208.html
13,2022-10-23 23:43, (Cincinnati,Antique Wood Dresser,$60,https://cincinnati.craigslist.org/fuo/d/cincinnati-antique-wood-dresser/7549237594.html
14,2022-10-23 23:38, (Mason,10 Gallon Aquarium With Screened Lid And 2 Heat Lamps.  In Good Shape.,$30,https://cincinnati.craigslist.org/for/d/mason-10-gallon-aquarium-with-screened/7547325893.html
15,2022-10-23 23:38, (Mason,Bose Acoustimass 100W Sub in great shape!,$70,https://cincinnati.craigslist.org/ele/d/mason-bose-acoustimass-100w-sub-in/7542828121.html
